date	ln_rSalesGoods	resid_rCIPI	ln_rGDP	ln_rISratio
1947q1	4.0859761	.0028233838	7.5675893	1.3896501
1947q2	4.0893321	-.001945118	7.5664563	1.3913069
1947q3	4.1042948	-.0075301477	7.5654383	1.3717502
1947q4	4.1157799	-.0012578572	7.5810595	1.372331
1948q1	4.1206617	.0062607285	7.5956564	1.3805964
1948q2	4.1190372	.011845871	7.6117687	1.3956006
1948q3	4.1174097	.013814832	7.6173439	1.4136053
1948q4	4.1190372	.010604514	7.618413	1.4241852
1949q1	4.1190372	-.0010781086	7.6046562	1.4237938
1949q2	4.1335654	-.009391401	7.6012964	1.3926841
1949q3	4.1367655	-.0020584981	7.612237	1.389086
1949q4	4.1478853	-.0093534384	7.6032262	1.3574462
1950q1	4.1682143	.0038613214	7.6423125	1.348033
1950q2	4.1987047	.005489944	7.6721025	1.3350801
1950q3	4.2556129	.0069614029	7.709919	1.2946301
1950q4	4.2209773	.022490071	7.7290473	1.3815106
1951q1	4.2384448	.013563283	7.7426372	1.3931253
1951q2	4.215086	.019608246	7.7598348	1.4589242
1951q3	4.2413268	.012510826	7.7802229	1.4601196
1951q4	4.2598591	.0052969283	7.782434	1.4515609
1952q1	4.2598591	.0065884716	7.7929502	1.4630723
1952q2	4.2668962	-.0015758486	7.7950358	1.4465064
1952q3	4.2470655	.0072428468	7.8022423	1.4765195
1952q4	4.2959237	.0070314147	7.8345346	1.4419378
1953q1	4.3201513	.0055625569	7.8529725	1.4270099
1953q2	4.3254561	.0054135201	7.8607469	1.4340763
1953q3	4.3241324	.0032905191	7.8551269	1.4404312
1953q4	4.3174882	-.0028357559	7.8398352	1.4363536
1954q1	4.3148179	-.0025345006	7.8352008	1.4310658
1954q2	4.3267779	-.0040655122	7.836247	1.4094715
1954q3	4.3372908	-.0032066246	7.847527	1.390859
1954q4	4.361824	-.0011655153	7.8668265	1.3656751
1955q1	4.388257	.0046092607	7.8949761	1.3515357
1955q2	4.4164281	.0067143273	7.9111233	1.3408952
1955q3	4.4308167	.0060390239	7.9244804	1.3418697
1955q4	4.4296255	.0082956627	7.9304805	1.362473
1956q1	4.4260435	.0070079481	7.9266143	1.3832995
1956q2	4.4355674	.0048139393	7.9348259	1.3868866
1956q3	4.4391155	.0037323544	7.9340076	1.394232
1956q4	4.4520192	.0032476832	7.9502339	1.3909456
1957q1	4.4636068	.0017406755	7.9566579	1.3839875
1957q2	4.4543471	.0025123951	7.9544377	1.3984298
1957q3	4.4624538	.0036429847	7.9641304	1.3963361
1957q4	4.4473462	-.0033958808	7.9538264	1.4034185
1958q1	4.417635	-.0043573393	7.9275603	1.4168832
1958q2	4.4127984	-.0037768541	7.9341364	1.406691
1958q3	4.4296255	.0018870009	7.9569926	1.3877832
1958q4	4.4566703	.0048692604	7.980114	1.3693299
1959q1	4.4863868	.0038729846	7.9985466	1.3516353
1959q2	4.5020294	.0096470593	8.0225725	1.3627375
1959q3	4.5141506	.0011295108	8.0206451	1.357967
1959q4	4.5020294	.0056084958	8.0245686	1.3862944
1960q1	4.5261269	.013845383	8.0466013	1.3916911
1960q2	4.5315237	.0039168503	8.042799	1.3927321
1960q3	4.5304465	.0055418713	8.0452862	1.4025941
1960q4	4.5293684	-.0064183017	8.0331068	1.3889877
1961q1	4.5304465	-.0029207559	8.0398836	1.3795366
