ln_rSalesGoods	ln_rGDP	ln_rInventory
4.0859761	7.5675893	5.4756265
4.0893321	7.5664563	5.480639
4.1042948	7.5654383	5.4760451
4.1157799	7.5810595	5.488111
4.1206617	7.5956564	5.5012584
4.1190372	7.6117687	5.5146375
4.1174097	7.6173439	5.5310149
4.1190372	7.618413	5.5432224
4.1190372	7.6046562	5.5428309
4.1335654	7.6012964	5.5262494
4.1367655	7.612237	5.5258512
4.1478853	7.6032262	5.5053315
4.1682143	7.6423125	5.5162473
4.1987047	7.6721025	5.5337849
4.2556129	7.709919	5.5502429
4.2209773	7.7290473	5.6024876
4.2384448	7.7426372	5.6315703
4.215086	7.7598348	5.6740103
4.2413268	7.7802229	5.7014465
4.2598591	7.782434	5.7114201
4.2598591	7.7929502	5.7229314
4.2668962	7.7950358	5.7134027
4.2470655	7.8022423	5.7235851
4.2959237	7.8345346	5.7378616
4.3201513	7.8529725	5.7471614
4.3254561	7.8607469	5.7595325
4.3241324	7.8551269	5.764564
4.3174882	7.8398352	5.7538419
4.3148179	7.8352008	5.7458835
4.3267779	7.836247	5.7362494
4.3372908	7.847527	5.7281499
4.361824	7.8668265	5.727499
4.388257	7.8949761	5.7397928
4.4164281	7.9111233	5.7573233
4.4308167	7.9244804	5.7726865
4.4296255	7.9304805	5.7920985
4.4260435	7.9266143	5.8093429
4.4355674	7.9348259	5.822454
4.4391155	7.9340076	5.8333478
4.4520192	7.9502339	5.8429646
4.4636068	7.9566579	5.8475943
4.4543471	7.9544377	5.852777
4.4624538	7.9641304	5.8587899
4.4473462	7.9538264	5.8507648
4.417635	7.9275603	5.8345184
4.4127984	7.9341364	5.8194895
4.4296255	7.9569926	5.8174086
4.4566703	7.980114	5.8260002
4.4863868	7.9985466	5.8380218
4.5020294	8.0225725	5.8647671
4.5141506	8.0206451	5.872118
4.5020294	8.0245686	5.8883238
4.5261269	8.0466013	5.9178181
4.5315237	8.042799	5.9242558
4.5304465	8.0452862	5.9330406
4.5293684	8.0331068	5.9183559
4.5304465	8.0398836	5.9099832
4.5347476	8.058301	5.9135032
4.5475411	8.0748377	5.928791
4.5736794	8.094902	5.9409604
4.5839467	8.1127539	5.9617782
4.5991521	8.1234703	5.9753351
4.6081657	8.1329508	5.9904642
4.6121459	8.1368246	5.9981918
4.6220274	8.1478901	6.0105314
4.6443911	8.1608419	6.0222363
4.6634393	8.1801748	6.0378709
4.6746964	8.1872864	6.0487895
4.7022967	8.2086849	6.0623889
4.7131271	8.2205057	6.0755758
4.7309213	8.2339973	6.0904045
4.729156	8.2375374	6.1039
4.7510004	8.2619009	6.1286144
4.7672892	8.2754793	6.1446147
4.7891569	8.2955866	6.1622615
4.8210878	8.3188963	6.176075
4.8457608	8.3432903	6.202333
4.8362818	8.3473768	6.2298908
4.8457608	8.354475	6.2532516
4.8410325	8.3630114	6.2845073
4.8402424	8.3721504	6.3090086
4.8551502	8.3730268	6.3162618
4.8574843	8.3816223	6.3309679
4.8644528	8.3896399	6.3470387
4.8850722	8.4097433	6.3562813
4.893352	8.4264898	6.3722954
4.9119191	8.4336662	6.3838444
4.9155917	8.4381075	6.3967628
4.9330339	8.453537	6.411654
4.9294252	8.4567385	6.4235716
4.9337544	8.4629784	6.4406276
4.9258032	8.4586039	6.4517336
4.927978	8.45683	6.4517336
4.9221683	8.4585981	6.4581814
4.9323134	8.4674177	6.4675436
4.9243507	8.457078	6.4666114
4.940928	8.4835014	6.4798913
4.94876	8.489192	6.4885969
4.9614449	8.4969807	6.4990349
4.9739714	8.499897	6.5012898
4.9897523	8.5176802	6.505784
5.0139632	8.5405731	6.5182619
5.0251956	8.5497475	6.5337887
5.0613284	8.5662165	6.5441995
5.0949764	8.5905371	6.5610309
5.0962014	8.6018105	6.5757728
5.0943637	8.5963621	6.5834093
5.0912933	8.6056433	6.6062446
5.0863609	8.5973015	6.620873
5.0807829	8.5999269	6.6352901
5.0707893	8.5901985	6.6394835
5.0310912	8.5861902	6.6626215
5.0343518	8.5740356	6.6489844
5.0414877	8.5817108	6.635159
5.0606947	8.5981016	6.63345
5.0751739	8.6114931	6.6321335
5.0974245	8.6338234	6.6440501
